Name,Score,Best_n_components,Status
1005_glass,0.7800664451827243,87,ok
1048_jEdit_4_2_4_3,0.5529433543132173,100,ok
1068_pc1,0.9305531776120011,100,ok
1071_mw1,0.9230864197530864,100,ok
1442_MegaWatt1,0.8933333333333333,100,ok
1443_PizzaCutter1,0.9258601048074733,100,ok
1446_CostaMadre1,0.8682485875706215,100,ok
1447_CastMetal1,0.8654545454545455,100,ok
1449_MeanWhile1,0.8893333333333333,100,ok
1451_PieChart1,0.9163120567375886,100,ok
1460_banana,0.8865000000000001,100,ok
1462_banknote-authentication,0.998542800265428,100,ok
1499_seeds,0.8714285714285716,100,ok
1500_seismic-bumps,0.9047619047619048,100,ok
1508_user-knowledge,0.8040740740740742,100,ok
1510_wdbc,0.9455519329296692,100,ok
1524_vertebra-column,0.7612903225806452,100,ok
1525_wall-robot-navigation,0.9710000000000001,100,ok
1535_volcanoes-b5,0.9664999999999999,100,ok
1547_autoUniv-au1-1000,0.725,100,ok
15_breast-w,0.6623946557040081,100,ok
311_oil_spill,0.9669018090795312,100,ok
337_SPECTF,0.7188819875776398,100,ok
37_diabetes,0.7226466344113402,100,ok
40671_ecoli,0.7766899766899767,100,ok
40682_thyroid-new,0.7209302325581395,92,ok
40704_Titanic,0.7695000000000001,8,ok
40994_climate-model-simulation-crashes,0.9185185185185185,100,ok
41919_CPMP-2015-runtime-classification,0.4838274932614556,100,ok
41945_ilpd-numeric,0.6398909519599175,100,ok
44127_phoneme,0.8295,100,ok
44346_credit,0.6685000000000001,100,ok
44362_california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8254999999999999,100,ok
44368_wine_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,0.727,100,ok
44376_electricity_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7344999999999999,100,ok
44377_covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.6585000000000001,100,ok
44386_pol_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8494999999999999,100,ok
44389_house_16H_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.797,100,ok
44392_kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8285,100,ok
44400_MagicTelescope_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7815,100,ok
44405_bank-marketing_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.724,100,ok
44417_Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.5454999999999999,100,ok
44423_eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.548,100,ok
44492_wilt_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.961,100,ok
44495_numerai28_6_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.5015,100,ok
44597_blood-transfusion-service-center_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7620671140939598,100,ok
44601_qsar-biodeg_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8293838862559243,100,ok
44632_kc1_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8404999999999999,100,ok
44679_sylvine_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,0.768,100,ok
44720_jungle_chess_2pcs_raw_endgame_complete_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7495,100,ok
45604_dummy,0.9200000000000002,100,ok
46279_algerian_forest_fires,0.9011904761904763,100,ok
46416_Creditability-German-Credit-Data,0.721,100,ok
46435_Apple_Stock_Price_Trends_Classification,0.34049999999999997,100,ok
46505_total_score,0.5563325563325564,100,ok
46535_dataset_credit-approval,0.8637681159420291,100,ok
46562_German-Credit-Data-Creditability-Preprocessed-Dataset,0.7,100,ok
46764_football-player-position,0.7945,100,ok
46842_maternal_health_risk,0.7011705604057943,100,ok
46851_hepatitis_c_virus_hcv_for_egyptian_patients,0.25415162454873647,100,ok
46873_student_lifestyle_dataset,0.9205,100,ok
46876_depression_2020,0.8047503373819163,100,ok
46879_mental_health_detection,0.4,18,ok
46880_air-quality-and-pollution-assessment,0.9065,100,ok
46951_Pumpkin_Seeds,0.8765000000000001,100,ok
47155_waveform,0.7637499999999999,100,ok
53_heart-statlog,0.7962962962962964,100,ok
59_ionosphere,0.7037826961770625,100,ok
717_rmftsa_ladata,0.8050669772859639,100,ok
721_pwLinear,0.795,100,ok
728_analcatdata_supreme,0.9804999999999999,75,ok
733_machine_cpu,0.8324041811846691,75,ok
737_space_ga,0.788,100,ok
750_pm10,0.5519999999999999,100,ok
770_strikes,0.9263999999999999,100,ok
772_quake,0.5255,100,ok
778_bodyfat,0.7861176470588236,100,ok
803_delta_ailerons,0.9425000000000001,100,ok
820_chatfield_4,0.6936170212765957,100,ok
832_fri_c3_250_25,0.612,100,ok
841_stock,0.9589473684210527,100,ok
860_vinnie,0.8342105263157894,40,ok
871_pollen,0.5015,100,ok
880_mu284,0.8523182957393484,100,ok
886_no2,0.6,100,ok
909_chscase_census2,0.5625,100,ok
914_balloon,0.8145,22,ok
925_visualizing_galaxy,0.9225000000000001,100,ok
931_disclosure_z,0.5226703121439963,100,ok
958_segment,0.9960000000000001,100,ok
962_mfeat-morphological,0.9984999999999999,100,ok
994_vehicle,0.9479498781761226,100,ok
996_prnn_fglass,0.7384274640088593,88,ok
997_balance-scale,0.8912000000000001,100,ok
