Name,Score,Best_n_components
1005_glass,0.77984496124031,5
1048_jEdit_4_2_4_3,0.6804516845612736,10
1068_pc1,0.9278667808079574,10
1071_mw1,0.9180864197530865,20
1442_MegaWatt1,0.8775686274509804,5
1443_PizzaCutter1,0.92738664843928,20
1446_CostaMadre1,0.844632768361582,20
1447_CastMetal1,0.8717016317016316,2
1449_MeanWhile1,0.8854117647058823,2
1451_PieChart1,0.8964539007092199,10
1460_banana,0.893,5
1462_banknote-authentication,0.9985454545454544,2
1499_seeds,0.9,2
1500_seismic-bumps,0.919047619047619,2
1508_user-knowledge,0.8064197530864197,10
1510_wdbc,0.9596025461884802,10
1524_vertebra-column,0.8258064516129032,10
1525_wall-robot-navigation,0.977,10
1535_volcanoes-b5,0.9650000000000001,2
1547_autoUniv-au1-1000,0.7299999999999999,2
15_breast-w,0.9627852004110997,5
311_oil_spill,0.9647741495050631,2
337_SPECTF,0.7135403726708075,20
37_diabetes,0.7564213564213564,10
40671_ecoli,0.8746853146853146,2
40682_thyroid-new,0.9116279069767442,10
40704_Titanic,0.734,5
40994_climate-model-simulation-crashes,0.924074074074074,20
41919_CPMP-2015-runtime-classification,0.49130278526504945,2
41945_ilpd-numeric,0.6347332743884468,10
44127_phoneme,0.8379999999999999,20
44346_credit,0.6125,2
44362_california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7755000000000001,20
44368_wine_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7605,20
44376_electricity_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7385,20
44377_covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.6995,20
44386_pol_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.9279999999999999,20
44389_house_16H_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.796,20
44392_kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8185,20
44400_MagicTelescope_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7755,5
44405_bank-marketing_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.732,2
44417_Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.5599999999999999,20
44423_eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.5455,10
44492_wilt_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.9515,2
44495_numerai28_6_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.501,2
44597_blood-transfusion-service-center_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7794004474272931,20
44601_qsar-biodeg_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8606635071090046,10
44632_kc1_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8505,20
44679_sylvine_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7745,10
44720_jungle_chess_2pcs_raw_endgame_complete_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7264999999999999,20
45604_dummy,0.933,20
46279_algerian_forest_fires,0.8931122448979592,5
46416_Creditability-German-Credit-Data,0.704,20
46435_Apple_Stock_Price_Trends_Classification,0.339,10
46505_total_score,0.5980672105672106,10
46535_dataset_credit-approval,0.8391304347826086,2
46562_German-Credit-Data-Creditability-Preprocessed-Dataset,0.6839999999999999,5
46764_football-player-position,0.807,10
46842_maternal_health_risk,0.6913329756620984,2
46851_hepatitis_c_virus_hcv_for_egyptian_patients,0.27653429602888085,20
46873_student_lifestyle_dataset,0.875,20
46876_depression_2020,0.8138633296528033,20
46879_mental_health_detection,0.40370370370370373,5
46880_air-quality-and-pollution-assessment,0.9209999999999999,20
46951_Pumpkin_Seeds,0.8655000000000002,10
47155_waveform,0.7787499999999999,5
53_heart-statlog,0.8074074074074075,5
59_ionosphere,0.8747283702213279,2
717_rmftsa_ladata,0.8463211026985051,20
721_pwLinear,0.82,5
728_analcatdata_supreme,0.9744999999999999,20
733_machine_cpu,0.9278745644599302,2
737_space_ga,0.7825,20
750_pm10,0.578,10
770_strikes,0.8368,20
772_quake,0.5275000000000001,2
778_bodyfat,0.8688627450980391,20
803_delta_ailerons,0.9380000000000001,2
820_chatfield_4,0.8680851063829786,5
832_fri_c3_250_25,0.636,2
841_stock,0.9610526315789473,2
860_vinnie,0.855263157894737,20
871_pollen,0.5149999999999999,2
880_mu284,0.9262531328320802,10
886_no2,0.604,10
909_chscase_census2,0.5225,5
914_balloon,0.8155000000000001,10
925_visualizing_galaxy,0.9565865384615385,5
931_disclosure_z,0.49841649578491687,2
958_segment,0.991,5
962_mfeat-morphological,0.9984999999999999,2
994_vehicle,0.9680751827358162,10
996_prnn_fglass,0.7478405315614618,5
997_balance-scale,0.8880000000000001,2
